locationid,stationname,chinesename,latitude,longitude,pm25,pm10,o3,no2,so2,co,temperature,dewpoint,pressure,humidity,wind,est_time
18,Changping Town,,40.218245,116.236084,291,175,24,28,2,19,11,10,1011,94,0,20141024170000
1101,Chaozhou,,23.654204,116.626969,114,55,50,10,8,17,22,19,1018,83,2,20141024170000
1,Dongcheng Dongsi,,39.9304,116.423239,357,239,8,67,5,29,11,10,1011,94,0,20141024170000
2,"Temple of Heaven, Dongcheng",,39.887403,116.41324,280,146,6,28,5,26,11,10,1011,94,0,20141024170000
3,West Park officials,,39.930333,116.345162,360,194,9,73,4,26,11,10,1011,94,0,20141024170000
4,West Wanshou Nishinomiya,,39.879354,116.358183,-,-,-,-,-,-,-,-,0,-,-,20141024170000
5,Chaoyang Olympic Sports Center,,39.983406,116.403253,384,263,6,77,5,25,11,10,1012,94,1,20141024170000
6,Chaoyang Agricultural Exhibition Hall,,39.938331,116.46715,388,252,7,60,3,27,11,10,1011,94,0,20141024170000
7,Haidian Wanliu,,39.988245,116.293062,347,187,4,60,7,24,11,10,1011,94,0,20141024170000
8,The Haidian northern New Area,,40.091313,116.180194,281,163,5,37,6,20,11,10,1011,94,0,20141024170000
9,Haidian Beijing Botanical Garden,,40.003252,116.213097,372,176,1,29,4,19,11,10,1011,94,0,20141024170000
10,Fengtai garden,,39.86423,116.285037,361,197,8,69,3,27,11,10,1011,94,0,20141024170000
11,Fengtai Yungang,,39.82535,116.152237,382,216,19,53,4,19,11,10,1011,94,0,20141024170000
12,Shijingshan city,,39.915286,116.190144,351,232,10,62,3,29,11,10,1011,94,0,20141024170000
13,"Fangshan, Liangxiang",,39.743357,116.14225,359,260,9,61,3,27,11,10,1011,94,0,20141024170000
14,"Huangcunzhen, Daxing",,39.719389,116.410219,390,218,7,59,5,29,11,10,1011,94,0,20141024170000
15,BDA,,39.796197,116.51197,362,199,13,58,3,26,11,10,1011,94,0,20141024170000
16,Tongzhou New Town,,39.887113,116.6689,404,296,6,75,12,27,11,10,1011,94,0,20141024170000
17,Shunyi New Town ,,40.128111,116.660908,278,160,5,31,2,25,11,10,1011,94,0,20141024170000
19,"Mentougou, Longquan Town",,39.938397,116.112323,319,101,12,34,2,19,11,10,1011,94,0,20141024170000
20,Pinggu town,,40.144433,117.106563,291,213,10,20,2,20,11,10,1011,94,0,20141024170000
21,Huairou town,,40.329104,116.63387,270,162,20,12,2,20,11,10,1011,94,0,20141024170000
22,The town of Miyun,,40.371186,116.838053,296,133,9,24,2,22,11,10,1011,94,0,20141024170000
23,Yanqing town,,40.454217,115.978106,326,-,13,39,2,19,11,10,1011,94,0,20141024170000
24,Changping Dingling,,40.293269,116.226108,311,159,30,14,2,15,11,10,1011,94,0,20141024170000
25,Badaling Northwest,,40.36623,115.994146,331,-,26,38,5,17,11,10,1011,94,0,20141024170000
26,Miyun Reservoir,,40.500157,116.91701,296,-,30,7,2,20,11,10,1011,94,0,20141024170000
27,"Donggaocun Zhen, Pinggu",,40.10142,117.126556,330,-,21,23,4,15,11,10,1011,94,0,20141024170000
28,"Yongledianzhen, Tongzhou",,39.713192,116.78905,294,-,3,29,6,19,11,10,1011,94,0,20141024170000
29,"Yufazhen, Daxing",,39.521203,116.306026,279,214,9,28,2,21,11,10,1011,94,0,20141024170000
30,"Liulihezhen, Fangshan",,39.581169,116.006089,351,246,12,38,4,18,11,10,1011,94,0,20141024170000
31,"Qianmen E St, Dongcheng",,39.900402,116.401242,413,171,2,57,2,29,11,10,1011,94,0,20141024170000
32,Yongdingmen Inner St,,39.877401,116.400238,388,154,2,81,13,35,11,10,1011,94,0,20141024170000
33,Xizhimen N St,,39.955352,116.355187,404,283,11,72,4,25,11,10,1012,94,1,20141024170000
34,South Ring Road,,39.857377,116.37421,417,167,1,65,6,29,11,10,1011,94,0,20141024170000
35,East Fourth Ring Road,,39.940273,116.489075,425,135,2,47,6,33,11,10,1011,94,0,20141024170000
36,Beijing,,39.955906,116.474246,421,239,8,67,5,29,11,10,1011,94,0,20141024170000
37,Putuo,,31.232979,121.415378,63,24,37,13,5,3,18,15,1019,83,3,20141024170000
38,Yangpu Sipiao,,31.263795,121.540311,99,44,31,35,6,5,18,15,1019,83,3,20141024170000
39,Shanghai Normal College Primary Division,,31.199031,121.487719,132,63,23,36,5,9,18,15,1019,83,3,20141024170000
40,Dianshan Lake,,31.091338,120.982293,157,61,24,21,6,5,18,15,1019,83,3,20141024170000
41,Hongkou Liangcheng,,31.298906,121.47155,76,24,37,17,6,6,18,14,1019,77,2,20141024170000
42,Jingan,,31.224251,121.429637,78,25,34,17,7,5,18,15,1019,83,3,20141024170000
43,Shanghai Normal University,,31.163531,121.416643,94,37,28,30,4,6,18,15,1019,83,3,20141024170000
44,Chuansha,,31.188626,121.707342,72,31,34,10,4,4,18,15,1019,83,3,20141024170000
45,Zhangjiang,,31.204896,121.581215,93,37,32,22,4,6,18,14,1019,77,2,20141024170000
46,Lingshan Road,,31.226286,121.537317,69,41,37,21,3,4,18,15,1019,83,3,20141024170000
1080,City average,,31.228451,121.478227,85,37,33,22,5,5,18,15,1019,83,3,20141024170000
47,Shanghai,,31.202842,121.453493,93,59,36,40,5,5,18,15,1019,83,3,20141024170000
48,Guangzhou,,23.138517,113.263701,170,89,28,44,11,15,24,20,1017,78,2,20141024170000
49,"Huadu town, Guangzhou",,23.389121,113.220062,175,108,32,43,20,11,23,20,1017,83,1,20141024170000
50,"Luogang Zhenlong, Guangzhou",,23.308027,113.567032,157,90,22,36,6,8,23,20,1017,83,1,20141024170000
51,"LuHu, Guangzhou",,23.151743,113.281842,164,77,14,53,6,11,23,20,1017,83,1,20141024170000
52,"Tianhu, Guangzhou",,23.647433,113.629715,119,52,57,4,13,12,23,20,1017,83,1,20141024170000
53,"Zhudong, Guangzhou",,23.418406,113.078552,171,99,36,29,4,11,23,20,1017,83,1,20141024170000
54,"Modiesha station, Guangzhou",,23.103814,113.338238,165,135,21,63,28,9,23,20,1017,83,1,20141024170000
55,Zhuhai,,22.2677,113.581765,114,53,27,11,4,8,25,21,1016,78,5,20141024170000
1075,"Huicai technical school, Foshan",,23.039667,113.105492,205,124,25,61,18,12,23,20,1017,83,1,20141024170000
56,"Sanshuiyun donghai, Foshan",,23.185788,112.865368,198,127,41,70,28,12,23,20,1017,83,1,20141024170000
57,"Nanhai Bureau of Meteorology, Foshan",,23.046836,113.145764,179,102,21,73,11,17,23,20,1017,83,1,20141024170000
58,"Sanshui Monitoring Station, Foshan",,23.163551,112.890843,189,116,22,75,15,18,23,20,1017,83,1,20141024170000
1087,Foshan,,23.018995,113.126899,179,102,21,73,11,17,23,20,1017,83,1,20141024170000
59,"Ronggui street committee, Shunde",,22.762729,113.258356,160,82,30,43,11,13,23,20,1017,83,1,20141024170000
60,Shunde,,22.80246,113.298701,158,77,28,40,12,10,-,-,0,-,-,20141024170000
61,"Donghu, Jiangmen",,22.590411,113.087351,161,67,30,24,14,8,25,21,1016,78,5,20141024170000
62,"Taoyuan Atmosphere Premier Station, Jiangmen",,22.72489,112.93404,186,117,27,29,18,14,25,21,1016,78,5,20141024170000
63,Jiangmen,,22.576047,113.087351,161,67,30,24,14,8,25,21,1016,78,5,20141024170000
64,"Kengkouzi station, Zhaoqing",,23.158865,112.570287,175,86,50,16,20,12,23,20,1017,83,1,20141024170000
65,"Mugangzi station, Zhaoqing",,23.067961,112.431934,170,102,32,57,13,15,23,20,1017,83,1,20141024170000
67,Zhaoqing,,23.044571,112.470346,193,100,46,19,19,11,23,20,1017,83,1,20141024170000
68,"Jinguo Bay, Huizhou",,22.937223,114.385567,134,76,40,9,4,7,24,20,1017,78,2,20141024170000
1091,"Xiabu, Huizhou",,23.077493,114.410275,129,64,33,10,5,3,24,20,1017,78,2,20141024170000
69,"Xijiao, Huizhou",,23.338178,114.112867,127,51,23,10,12,12,24,20,1017,78,2,20141024170000
70,"Jiangbei, Huizhou",,23.111706,114.415274,107,74,39,12,6,10,24,20,1017,78,2,20141024170000
71,"Huiyang chuanhu, Huizhou",,22.814485,114.329292,95,51,45,7,5,9,24,20,1017,78,2,20141024170000
72,"Daya bay management committee, Huizhou",,22.739283,114.53631,104,59,46,29,4,5,24,20,1017,78,2,20141024170000
73,Huizhou,,23.109349,114.421164,107,74,39,12,6,10,24,20,1017,78,2,20141024170000
74,"Guancheng No.2 water plant, Dongguan",,23.057294,113.753254,163,87,33,35,7,11,24,20,1017,78,2,20141024170000
75,"Dongcheng Shijing, Dongguan",,23.010039,113.799529,160,73,23,30,7,10,24,20,1017,78,2,20141024170000
76,"Nancheng Xiping, Dongguan",,22.963051,113.743494,170,110,25,47,12,10,24,20,1017,78,2,20141024170000
77,"Nancheng Yuanling, Dongguan",,23.025058,113.751308,163,77,29,27,9,11,24,20,1017,78,2,20141024170000
78,Dongguan,,23.017813,113.756958,163,77,29,27,9,11,24,20,1017,78,2,20141024170000
79,"Zimaling, Zhongshan",,22.505112,113.407183,132,55,19,21,11,13,25,21,1016,78,5,20141024170000
80,"Yangtze River tourist area, Zhongshan",,22.48589,113.439054,129,55,16,13,4,15,25,21,1016,78,5,20141024170000
81,"Huabai Park, Zhongshan",,22.51839,113.374362,152,58,10,30,8,19,25,21,1016,78,5,20141024170000
82,Zhongshan,,22.513997,113.398277,132,55,19,21,11,13,25,21,1016,78,5,20141024170000
83,"No.8 middle school, Shaoguan",,24.767777,113.583537,175,104,15,40,27,15,19,16,1018,74,3,20141024170000
83,"No.8 middle school, Shaoguan",,24.767777,113.583537,175,104,15,40,27,15,19,16,1018,74,3,20141024170000
84,"Forest area, Shaoguan",,24.796107,113.612131,169,110,22,19,52,21,19,16,1018,74,3,20141024170000
84,"Forest area, Shaoguan",,24.796106,113.612131,169,110,22,19,52,21,19,16,1018,74,3,20141024170000
86,"Shaoguan University, Shaoguan",,24.790864,113.646599,159,65,32,13,11,22,19,16,1018,74,3,20141024170000
86,"Shaoguan University, Shaoguan",,24.790864,113.646598,159,65,32,13,11,22,19,16,1018,74,3,20141024170000
88,"Qujiang Monitoring Station, Shaoguan",,24.683042,113.60157,159,65,32,29,10,13,19,16,1018,74,3,20141024170000
88,"Qujiang Monitoring Station, Shaoguan",,24.683042,113.60157,159,65,32,29,10,13,19,16,1018,74,3,20141024170000
89,Shaoguan,,24.807342,113.602712,169,110,22,19,52,21,19,16,1018,74,3,20141024170000
90,"Chaonanzi Station, Shantou",,23.251213,116.406762,104,79,41,14,9,8,22,19,1018,83,2,20141024170000
91,Shantou,,23.350642,116.686306,87,41,44,10,13,11,22,19,1018,83,2,20141024170000
